"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","lib","lib/web"
"Please enter a valid social security number (Ex: 123-45-6789).","Please enter a valid social security number (Ex: 123-45-6789).","lib","lib/web"
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Please enter a valid zip code (Ex: 90602 or 90602-1234).","lib","lib/web"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","lib","lib/web"
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00.","lib","lib/web"
"Please enter a number 0 or greater in this field.","Please enter a number 0 or greater in this field.","lib","lib/web"
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field.","lib","lib/web"
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","lib","lib/web"
"Please enter a valid number in this field.","Please enter a valid number in this field.","lib","lib/web"
"The value is not within the specified range.","The value is not within the specified range.","lib","lib/web"
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field.","lib","lib/web"
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","lib","lib/web"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","lib","lib/web"
"Please enter a valid date.","Please enter a valid date.","lib","lib/web"
"Make sure the To Date is later than or the same as the From Date.","Make sure the To Date is later than or the same as the From Date.","lib","lib/web"
"Please make sure your passwords match.","Please make sure your passwords match.","lib","lib/web"
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","lib","lib/web"
"Please enter a valid zip code.","Please enter a valid zip code.","lib","lib/web"
"Please select one of the options above.","Please select one of the options above.","module","Magento_Ui"
"Card type does not match credit card number.","Card type does not match credit card number.","module","Magento_Ui"
"Credit card number does not match credit card type.","Credit card number does not match credit card type.","module","Magento_Ui"
"Incorrect credit card expiration date.","Incorrect credit card expiration date.","module","Magento_Ui"
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number.","lib","lib/web"
"Please enter issue number or start date for switch/solo card type.","Please enter issue number or start date for switch/solo card type.","module","Magento_Ui"
"Please enter less or equal than %1 symbols.","Please enter less or equal than %1 symbols.","module","Magento_Ui"
"Please enter more or equal than %1 symbols.","Please enter more or equal than %1 symbols.","module","Magento_Ui"
"Please enter positive number in this field.","Please enter positive number in this field.","lib","lib/web"
"Please enter a valid value, ex: 10,20,30","Please enter a valid value, ex: 10,20,30","lib","lib/web"
"Please enter a valid value from list","Please enter a valid value from list","module","Magento_Ui"
"Please enter valid SKU key.","Please enter valid SKU key.","module","Magento_Ui"
"Please enter a valid number.","Please enter a valid number.","module","Magento_Ui"
"This is required field","This is required field","lib","lib/web"
"Admin is a required field in the each row.","Admin is a required field in the each row.","module","Magento_Ui"
"Password cannot be the same as email address.","Password cannot be the same as email address.","lib","lib/web"
"Please fix this field.","Please fix this field.","module","Magento_Ui"
"Please enter a valid email address.","Please enter a valid email address.","lib","lib/web"
"Please enter the same value again.","Please enter the same value again.","module","Magento_Ui"
"Please enter no more than {0} characters.","Please enter no more than {0} characters.","module","Magento_Ui"
"Please enter at least {0} characters.","Please enter at least {0} characters.","module","Magento_Ui"
"Please enter a value between {0} and {1} characters long.","Please enter a value between {0} and {1} characters long.","module","Magento_Ui"
"Please enter a value between {0} and {1}.","Please enter a value between {0} and {1}.","module","Magento_Ui"
"Please enter a value greater than or equal to {0}.","Please enter a value greater than or equal to {0}.","lib","lib/web"
"%name,","%name,","module","Magento_GiftCardAccount"
"Email:","Email:","module","Magento_Customer"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>","theme","frontend/Magento/luma"
"Update to your %store_name credit memo","Update to your %store_name credit memo","theme","frontend/Magento/luma"
"%customer_name,","%customer_name,","module","Magento_Sales"
"No","No","module","Magento_Ui"
"Please enter a valid credit card type number.","Please enter a valid credit card type number.","module","Magento_Payment"
"Incorrect credit card expiration month.","Incorrect credit card expiration month.","module","Magento_Payment"
"Incorrect credit card expiration year.","Incorrect credit card expiration year.","module","Magento_Payment"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again.","module","Magento_Quote"
"Error","Error","module","Magento_DownloadableImportExport"
"Worldpay","Worldpay","module","Magento_Worldpay"
"Cybersource","Cybersource","module","Magento_Cybersource"
"SKU","SKU","module","Magento_Bundle"
"ID","ID","module","Magento_Bundle"
"[GLOBAL]","[GLOBAL]","module","Magento_ScalableInventory"
"Varchar","Varchar","module","Magento_Catalog"
"Decimal","Decimal","module","Magento_Catalog"
"Visible","Visible","module","Magento_ConfigurableProduct"
"Comparable","Comparable","module","Magento_ConfigurableProduct"
"The value of Admin scope can't be empty.","The value of Admin scope can't be empty.","module","Magento_Catalog"
"frontend_label","frontend_label","module","Magento_Weee"
"12h AM/PM","12h AM/PM","module","Magento_Catalog"
"24h","24h","module","Magento_Catalog"
"%1 - %2","%1 - %2","module","Magento_CatalogSearch"
"px.","px.","module","Magento_Cms"
"Could not save Prices.","Could not save Prices.","module","Magento_Catalog"
"Could not delete Prices","Could not delete Prices","module","Magento_Catalog"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","module","Magento_Catalog"
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","module","Magento_Catalog"
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","module","Magento_Catalog"
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","module","Magento_Catalog"
"Could not save Tier Prices","Could not save Tier Prices","module","Magento_Catalog"
"Could not replace Tier Prices","Could not replace Tier Prices","module","Magento_Catalog"
"Could not delete Tier Prices","Could not delete Tier Prices","module","Magento_Catalog"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","module","Magento_Catalog"
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","module","Magento_Catalog"
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","module","Magento_Catalog"
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","module","Magento_Catalog"
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","module","Magento_Catalog"
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","module","Magento_Catalog"
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","module","Magento_Catalog"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock","module","Magento_Catalog"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded","module","Magento_Catalog"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface","module","Magento_Catalog"
"fl","fl","module","Magento_Catalog"
"Lock wait timeout","Lock wait timeout","module","Magento_Catalog"
"123","123","module","Magento_Catalog"
"%1","%1","module","Magento_Email"
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists.","module","Magento_Catalog"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>","module","Magento_Catalog"
"Prev","Prev","module","Magento_Catalog"
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300).","module","Magento_Catalog"
"does not implement Storage Interface","does not implement Storage Interface","module","Magento_Catalog"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products","module","Magento_Catalog"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget","module","Magento_Catalog"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget","module","Magento_Catalog"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage","module","Magento_Catalog"
"Product Info Column","Product Info Column","module","Magento_Catalog"
"Block after Info Column","Block after Info Column","module","Magento_Catalog"
"Recently Viewed Products","Recently Viewed Products","module","Magento_Catalog"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor","module","Magento_Catalog"
"UI Component","UI Component","module","Magento_Catalog"
"Number of Products to display","Number of Products to display","module","Magento_Catalog"
"Product attributes to show","Product attributes to show","module","Magento_Catalog"
"Learn More Link","Learn More Link","module","Magento_Catalog"
"Buttons to show","Buttons to show","module","Magento_Catalog"
"Viewed Products Grid Template","Viewed Products Grid Template","module","Magento_Catalog"
"Viewed Products List Template","Viewed Products List Template","module","Magento_Catalog"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template","module","Magento_Catalog"
"Recently Compared Products","Recently Compared Products","module","Magento_Catalog"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor","module","Magento_Catalog"
"Compared Products Grid Template","Compared Products Grid Template","module","Magento_Catalog"
"Compared Products List Template","Compared Products List Template","module","Magento_Catalog"
"Set","Set","module","Magento_CustomerSegment"
"Layout Update XML","Layout Update XML","module","Magento_CmsStaging"
"AttributeSetText","AttributeSetText","module","Magento_CatalogStaging"
"StatusText","StatusText","module","Magento_CatalogStaging"
"Base","Base","module","Magento_Catalog"
"Recently Compared","Recently Compared","module","Magento_Catalog"
"Add To Cart","Add To Cart","module","Magento_Catalog"
"Add To Compare","Add To Compare","module","Magento_Catalog"
"Learn more","Learn more","module","Magento_Signifyd"
"Recently Viewed","Recently Viewed","module","Magento_Catalog"
"First-Class Package Service - Retail","First-Class Package Service - Retail","module","Magento_Usps"
"First-Class Mail Postcards","First-Class Mail Postcards","module","Magento_Usps"
"Retail Ground","Retail Ground","module","Magento_Usps"
"Library Mail","Library Mail","module","Magento_Usps"
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box","module","Magento_Usps"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box","module","Magento_Usps"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery","module","Magento_Usps"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box","module","Magento_Usps"
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A","module","Magento_Usps"
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B","module","Magento_Usps"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup","module","Magento_Usps"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","module","Magento_Usps"
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C","module","Magento_Usps"
"First-Class Package Service","First-Class Package Service","module","Magento_Usps"
"Priority Mail Express International","Priority Mail Express International","module","Magento_Usps"
"Priority Mail International","Priority Mail International","module","Magento_Usps"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)","module","Magento_Usps"
"Global Express Guaranteed Document","Global Express Guaranteed Document","module","Magento_Usps"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular","module","Magento_Usps"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular","module","Magento_Usps"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box","module","Magento_Usps"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box","module","Magento_Usps"
"First-Class Mail International Letter","First-Class Mail International Letter","module","Magento_Usps"
"First-Class Package International Service","First-Class Package International Service","module","Magento_Usps"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box","module","Magento_Usps"
"First-Class Mail International Postcard","First-Class Mail International Postcard","module","Magento_Usps"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box","module","Magento_Usps"
"Variable","Variable","module","Magento_Variable"
"Small Flat-Rate Box","Small Flat-Rate Box","module","Magento_Usps"
"Medium Flat-Rate Box","Medium Flat-Rate Box","module","Magento_Usps"
"Large Flat-Rate Box","Large Flat-Rate Box","module","Magento_Usps"
"Small Flat-Rate Envelope","Small Flat-Rate Envelope","module","Magento_Usps"
"Window Flat-Rate Envelope","Window Flat-Rate Envelope","module","Magento_Usps"
"Gift Card Flat-Rate Envelope","Gift Card Flat-Rate Envelope","module","Magento_Usps"
"Legal Flat-Rate Envelope","Legal Flat-Rate Envelope","module","Magento_Usps"
"Padded Flat-Rate Envelope","Padded Flat-Rate Envelope","module","Magento_Usps"
"Rectangular","Rectangular","module","Magento_Usps"
"Regular","Regular","module","Magento_Dhl"
"track_summary","track_summary","module","Magento_Usps"
"USPS","USPS","module","Magento_Usps"
"Store credit","Store credit","module","Magento_CustomerBalance"
"Total","Total","module","Magento_Weee"
"Emails","Emails","module","Magento_GiftRegistry"
"Message","Message","module","Magento_Invitation"
"Save and Continue Edit","Save and Continue Edit","module","Magento_Cms"
"Type","Type","module","Magento_Rma"
"Fax","Fax","module","Magento_MultipleLocationInventory"
"Share","Share","module","Magento_GiftRegistry"
"General","General","module","Magento_Invitation"
"[deleted]","[deleted]","module","Magento_Sales"
"YTD","YTD","module","Magento_Backend"
"2YTD","2YTD","module","Magento_Backend"
"Sorry, you need permissions to view this content.","Sorry, you need permissions to view this content.","module","Magento_Backend"
"Next steps","Next steps","module","Magento_Backend"
"If you think this is an error, try signing out and signing in again.","If you think this is an error, try signing out and signing in again.","module","Magento_Backend"
"Contact a system administrator or store owner to gain permissions.","Contact a system administrator or store owner to gain permissions.","module","Magento_Backend"
"Return to","Return to","module","Magento_Backend"
"previous page","previous page","module","Magento_Backend"
"Magento","Magento","module","Magento_Backend"
"ver. %1","ver. %1","module","Magento_Backend"
"WK","WK","module","Magento_Theme"
"Report an Issue","Report an Issue","module","Magento_Backend"
"JavaScript/CSS","JavaScript/CSS","module","Magento_Backend"
"Marketing","Marketing","module","Magento_Reports"
"Magento Connect","Magento Connect","module","Magento_Backend"
"Connect Manager","Connect Manager","module","Magento_Backend"
"Web","Web","module","Magento_Backend"
"Source Data","Source Data","module","Magento_Logging"
"N/A","N/A","module","Magento_Invitation"
"Action Logs","Action Logs","module","Magento_Logging"
"1","1","module","Magento_Logging"
"Forgot Password","Forgot Password","module","Magento_Logging"
"Send","Send","module","Magento_Logging"
"CSV","CSV","module","Magento_MultipleWishlist"
"Excel XML","Excel XML","module","Magento_MultipleWishlist"
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log.","module","Magento_CatalogRule"
"From","From","module","Magento_CatalogRule"
"Frame","Frame","module","Magento_VersionsCms"
"Menu Layout","Menu Layout","module","Magento_VersionsCms"
"Menu Detalization","Menu Detalization","module","Magento_VersionsCms"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes.","module","Magento_VersionsCms"
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy.","module","Magento_VersionsCms"
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes.","module","Magento_VersionsCms"
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy.","module","Magento_VersionsCms"
"CMS","CMS","module","Magento_Cms"
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy.","module","Magento_VersionsCms"
"Are you sure you want to delete current hierarchy?","Are you sure you want to delete current hierarchy?","module","Magento_VersionsCms"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","module","Magento_VersionsCms"
"Are you sure you want to copy the current hierarchy to the selected destinations?","Are you sure you want to copy the current hierarchy to the selected destinations?","module","Magento_VersionsCms"
"Are you sure you want to delete the selected hierarchies?","Are you sure you want to delete the selected hierarchies?","module","Magento_VersionsCms"
"Please select one or more hierarchies to delete.","Please select one or more hierarchies to delete.","module","Magento_VersionsCms"
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations.","module","Magento_VersionsCms"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used.","module","Magento_VersionsCms"
"Website Root","Website Root","module","Magento_VersionsCms"
"Google AdWords","Google AdWords","module","Magento_GoogleAdwords"
"Visual Merchandiser","Visual Merchandiser","module","Magento_VisualMerchandiser"
"Stock","Stock","module","Magento_CatalogInventory"
"%1 = %2","%1 = %2","module","Magento_Reward"
"Each earned reward points award expires in %1 days.","Each earned reward points award expires in %1 days.","module","Magento_Reward"
"Refer to reward points history to see when a specific record expires.","Refer to reward points history to see when a specific record expires.","module","Magento_Reward"
"Reward Points Balance Updated at %store_name","Reward Points Balance Updated at %store_name","module","Magento_Reward"
"You have %points_balance points that may be used in our store:","You have %points_balance points that may be used in our store:","module","Magento_Reward"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","module","Magento_Reward"
"Reward Points Expiry Warning at %store_name","Reward Points Expiry Warning at %store_name","module","Magento_Reward"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","module","Magento_Reward"
"After %remaining_days day(s) these points will expire.","After %remaining_days day(s) these points will expire.","module","Magento_Reward"
"You have a total of %points_balance points that may be used in our store:","You have a total of %points_balance points that may be used in our store:","module","Magento_Reward"
"Your reward point was successfully applied","Your reward point was successfully applied","module","Magento_Reward"
"Enable Reward Points Functionality on Storefront","Enable Reward Points Functionality on Storefront","module","Magento_Reward"
"Rewards Points Balance Redemption Threshold","Rewards Points Balance Redemption Threshold","module","Magento_Reward"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","module","Magento_Reward"
"Deduct Reward Points from Refund Amount Automatically","Deduct Reward Points from Refund Amount Automatically","module","Magento_Reward"
"Actions for Acquiring Reward Points by Customers","Actions for Acquiring Reward Points by Customers","module","Magento_Reward"
"Added for spent money according to reward exchange rates.","Added for spent money according to reward exchange rates.","module","Magento_Reward"
"Only for customers who subscribe for the first time.","Only for customers who subscribe for the first time.","module","Magento_Reward"
"Invitation to Customer Conversions Quantity Limit","Invitation to Customer Conversions Quantity Limit","module","Magento_Reward"
"Invitation to Order Conversions Quantity Limit","Invitation to Order Conversions Quantity Limit","module","Magento_Reward"
"Rewarded Reviews Submission Quantity Limit","Rewarded Reviews Submission Quantity Limit","module","Magento_Reward"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Entering no value or a value greater than the expiration lifetime disables the warning notification.","module","Magento_Reward"
"Create an account on our site now and earn %1.","Create an account on our site now and earn %1.","module","Magento_Reward"
"Subscribe to our newsletter now and earn %1.","Subscribe to our newsletter now and earn %1.","module","Magento_Reward"
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site.","module","Magento_Reward"
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s).","module","Magento_Reward"
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s).","module","Magento_Reward"
"Submit a review now and earn %1 after the review is approved.","Submit a review now and earn %1 after the review is approved.","module","Magento_Reward"
"Subtotal","Subtotal","module","Magento_Bundle"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","module","Magento_Tax"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","module","Magento_Tax"
"Your current tax configuration may result in rounding errors.","Your current tax configuration may result in rounding errors.","module","Magento_Tax"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","module","Magento_Tax"
"An error occurred while loading tax rates.","An error occurred while loading tax rates.","module","Magento_Tax"
"Open","Open","module","Magento_CatalogEvent"
"Save","Save","module","Magento_ConfigurableProductStaging"
"System","System","module","Magento_ConfigurableProductStaging"
"Virtual","Virtual","module","Magento_GiftCard"
"[STORE VIEW]","[STORE VIEW]","module","Magento_GiftCard"
"%1 [%2]","%1 [%2]","module","Magento_GiftCard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started.","module","Magento_Staging"
"Future Update in this time range already exists.                             Select a different range to add a new Future Update.","Future Update in this time range already exists.                             Select a different range to add a new Future Update.","module","Magento_Staging"
"Cannot save Update.","Cannot save Update.","module","Magento_Staging"
"Requested type does not have corresponding implementation","Requested type does not have corresponding implementation","module","Magento_Staging"
"Action class must implement ActionDataProviderInterface","Action class must implement ActionDataProviderInterface","module","Magento_Staging"
"entity_type","entity_type","module","Magento_Staging"
"Please select Start Time for Future Update.","Please select Start Time for Future Update.","module","Magento_Staging"
"Future Update End Time cannot be equal or earlier than Start Time.","Future Update End Time cannot be equal or earlier than Start Time.","module","Magento_Staging"
"Future Update End Time cannot be earlier than current time.","Future Update End Time cannot be earlier than current time.","module","Magento_Staging"
"Start time could not be changed while update active","Start time could not be changed while update active","module","Magento_Staging"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Please confirm scope switching. All data that hasn't been saved will be lost.","module","Magento_Staging"
"Create New Update","Create New Update","module","Magento_Staging"
"Update Name","Update Name","module","Magento_Staging"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" .","module","Magento_Sales"
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details","module","Magento_Sales"
"Please enter the company.","Please enter the company.","module","Magento_Sales"
"Please enter the fax number.","Please enter the fax number.","module","Magento_Sales"
"The creditmemo contains product item that is not part of the original order.","The creditmemo contains product item that is not part of the original order.","module","Magento_Sales"
"The quantity to refund must not be greater than the unrefunded quantity.","The quantity to refund must not be greater than the unrefunded quantity.","module","Magento_Sales"
"Order Id is required for creditmemo document","Order Id is required for creditmemo document","module","Magento_Sales"
"The creditmemo contains product SKU ""%1"" that is not part of the original order.","The creditmemo contains product SKU ""%1"" that is not part of the original order.","module","Magento_Sales"
"The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","The quantity to creditmemo must not be greater than the unrefunded quantity for product SKU ""%1"".","module","Magento_Sales"
"You can't create a creditmemo without products.","You can't create a creditmemo without products.","module","Magento_Sales"
"We can't create creditmemo for the invoice.","We can't create creditmemo for the invoice.","module","Magento_Sales"
"Order Id is required for invoice document","Order Id is required for invoice document","module","Magento_Sales"
"The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","The quantity to invoice must not be greater than the uninvoiced quantity for product SKU ""%1"".","module","Magento_Sales"
"The invoice contains one or more items that are not part of the original order.","The invoice contains one or more items that are not part of the original order.","module","Magento_Sales"
